"Designator","Value","Qty","Package","Category","Stock","Manufacturer","MPN","Datasheet","Vendor","Link","Unit","Total","MOQ","Description","DNP"
"C4, C3, C2, ","100nF","3","0805","Electronics","boxA-53","Murata","GCM21BR72A104KA37L","http://www.farnell.com/datasheets/2048170.pdf","Element14","https://sg.element14.com/murata/gcm21br72a104ka37l/cap-0-1-f-100v-10-x7r-0805/dp/2470440","0.207","5","C_Small: Unpolarized capacitor, small symbol",""
"C5, C6, C10, C11, ","10uF","4","0805","Electronics","boxA-30","Taiyo Yuden","LMK212ABJ106KGHT","http://www.farnell.com/datasheets/2842314.pdf","Element14","https://sg.element14.com/taiyo-yuden/lmk212abj106kght/capacitor-mlcc-0805-10v-x5r-10uf/dp/3217584","0.252","1","C_Small: Unpolarized capacitor, small symbol",""
"C7, C9, C1, ","1uF","3","0805","Electronics","boxB-186","Kemet","C0805C105K3RACTU","https://api.kemet.com/component-edge/download/specsheet/C0805C105K3RACTU.pdf","Element14","https://sg.element14.com/kemet/c0805c105k3ractu/cap-1-f-25v-10-x7r-0805/dp/1637035","0.156 ","10","C_Small: Unpolarized capacitor, small symbol",""
"D1, ","D_Schottky","1","SOD-123F","Electronics","boxA-52","Nexperia","PMEG3020EH,115","http://www.farnell.com/datasheets/676305.pdf","Element14","https://sg.element14.com/nexperia/pmeg3020eh-115/diode-schottky-2a-30v-sod-123f/dp/1510687?st=PMEG3020EH,115","0.438 ","5","D_Schottky: Schottky diode",""
"D2, ","ORANGE","1","0805","Electronics","","Rohm","SML-D15DWT86","http://www.farnell.com/datasheets/2166990.pdf","Element14","https://sg.element14.com/rohm/sml-d15dwt86/led-orange-224mcd-605nm-smd-0603/dp/2672849","0.42","1","LED: Light emitting diode",""
"D3, ","RED","1","0805","Electronics","boxB-187","Multicomp","MCL-S270SRC","http://www.farnell.com/datasheets/2861594.pdf","Element14","https://sg.element14.com/multicomp/mcl-s270src/led-smd-0805-super-red/dp/1581239","0.134","5","LED: Light emitting diode",""
"D4, D5, ","YELLOW","2","0805","Electronics","boxA-54","Everlight","17-215UYC/S530-A3/TR8","https://datasheet.lcsc.com/szlcsc/1810051702_Everlight-Elec-17-215UYC-S530-A3-TR8_C72036.pdf","LCSC","https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_0805-Yellow-light_C72036.html","0.0624","10","LED: Light emitting diode",""
"J1, ","18650 Battery holder","1","SMD","Connector","boxD-power-013","Keystone","1042P","http://www.farnell.com/datasheets/2067690.pdf","Element14","https://sg.element14.com/keystone/1042p/battery-holder-18650-smd/dp/2674338","4.04","1","Conn_01x02_Female: Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, ","USB_B_Micro","1","SMD","Connector","boxA-60 ","XKB Connectivity","U254-051T-4BH23-S2B","https://datasheet.lcsc.com/szlcsc/2002271812_XKB-Connectivity-U254-051T-4BH23-S2B_C319164.pdf","LCSC","https://lcsc.com/product-detail/USB-Connectors_XKB-Connectivity-U254-051T-4BH23-S2B_C319164.html","0.0786","10","USB_B_Micro: USB Micro Type B connector",""
"J3, ","Conn_Coaxial","1","PCB Mount","Connector","boxB-185","Multicomp","MP-19-70-4-TGG","http://www.farnell.com/datasheets/1662283.pdf","Element14","https://sg.element14.com/multicomp/19-70-4-tgg/rf-coaxial-sma-straight-jack-50ohm/dp/1342653","5.16","1","Conn_Coaxial: coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, ...)",""
